payment_id,user_id,paid_at,amount_usd,plan,is_refunded,net_amount_usd
P00000045,U0000018,2022-08-24,49.0,monthly,0,49.0
P00000046,U0000018,2022-09-24,49.0,monthly,0,49.0
P00000047,U0000018,2022-10-24,49.0,monthly,0,49.0
P00000048,U0000018,2022-11-24,49.0,monthly,0,49.0
P00000049,U0000018,2022-12-24,49.0,monthly,0,49.0
P00000050,U0000018,2023-01-24,49.0,monthly,0,49.0
P00000051,U0000020,2022-09-22,49.0,monthly,0,49.0
P00000052,U0000020,2022-10-22,49.0,monthly,0,49.0
P00000053,U0000020,2022-11-22,49.0,monthly,0,49.0
P00000054,U0000020,2022-12-22,49.0,monthly,0,49.0
P00000055,U0000020,2023-01-22,49.0,monthly,0,49.0
P00000056,U0000020,2023-02-22,49.0,monthly,0,49.0
P00000057,U0000022,2023-01-24,49.0,monthly,0,49.0
P00000058,U0000024,2021-01-27,49.0,monthly,0,49.0
P00000059,U0000024,2021-02-27,49.0,monthly,0,49.0
P00000060,U0000024,2021-03-27,49.0,monthly,0,49.0
P00000061,U0000024,2021-04-27,49.0,monthly,1,0.0
P00000062,U0000024,2021-05-27,49.0,monthly,0,49.0
P00000063,U0000024,2021-06-27,49.0,monthly,0,49.0
P00000064,U0000024,2021-07-27,49.0,monthly,0,49.0
P00000065,U0000024,2021-08-27,49.0,monthly,0,49.0
P00000066,U0000024,2021-09-27,49.0,monthly,0,49.0
P00000067,U0000024,2021-10-27,49.0,monthly,0,49.0
P00000068,U0000024,2021-11-27,49.0,monthly,0,49.0
P00000069,U0000024,2021-12-27,49.0,monthly,0,49.0
P00000070,U0000026,2022-09-09,399.0,annual,0,399.0
P00000071,U0000027,2023-01-04,49.0,monthly,0,49.0
P00000072,U0000027,2023-02-04,49.0,monthly,0,49.0
P00000073,U0000028,2022-02-23,49.0,monthly,0,49.0
P00000074,U0000028,2022-03-23,49.0,monthly,0,49.0
P00000075,U0000031,2021-04-30,399.0,annual,0,399.0
P00000076,U0000036,2021-11-09,399.0,annual,0,399.0
P00000077,U0000038,2022-09-12,49.0,monthly,0,49.0
P00000078,U0000038,2022-10-12,49.0,monthly,1,0.0
P00000079,U0000038,2022-11-12,49.0,monthly,0,49.0
P00000080,U0000038,2022-12-12,49.0,monthly,0,49.0
P00000081,U0000038,2023-01-12,49.0,monthly,0,49.0
P00000082,U0000038,2023-02-12,49.0,monthly,0,49.0
P00000083,U0000039,2022-02-26,49.0,monthly,0,49.0
P00000084,U0000039,2022-03-26,49.0,monthly,0,49.0
P00000085,U0000039,2022-04-26,49.0,monthly,0,49.0
P00000086,U0000039,2022-05-26,49.0,monthly,0,49.0
P00000087,U0000039,2022-06-26,49.0,monthly,0,49.0
P00000088,U0000039,2022-07-26,49.0,monthly,0,49.0
P00000089,U0000039,2022-08-26,49.0,monthly,0,49.0
P00000090,U0000039,2022-09-26,49.0,monthly,0,49.0
P00000091,U0000039,2022-10-26,49.0,monthly,0,49.0
P00000092,U0000039,2022-11-26,49.0,monthly,0,49.0
P00000093,U0000039,2022-12-26,49.0,monthly,0,49.0
P00000094,U0000039,2023-01-26,49.0,monthly,0,49.0
P00000095,U0000039,2023-02-26,49.0,monthly,0,49.0
P00000096,U0000041,2021-11-21,49.0,monthly,0,49.0
P00000097,U0000041,2021-12-21,49.0,monthly,0,49.0
P00000098,U0000041,2022-01-21,49.0,monthly,0,49.0
P00000099,U0000041,2022-02-21,49.0,monthly,0,49.0
P00000100,U0000041,2022-03-21,49.0,monthly,0,49.0
P00000101,U0000041,2022-04-21,49.0,monthly,0,49.0
P00000102,U0000041,2022-05-21,49.0,monthly,0,49.0
P00000103,U0000041,2022-06-21,49.0,monthly,0,49.0
P00000104,U0000041,2022-07-21,49.0,monthly,0,49.0
P00000105,U0000043,2022-11-22,49.0,monthly,0,49.0
P00000106,U0000043,2022-12-22,49.0,monthly,0,49.0
P00000107,U0000043,2023-01-22,49.0,monthly,0,49.0
P00000108,U0000043,2023-02-22,49.0,monthly,0,49.0
P00000109,U0000045,2022-08-04,399.0,annual,0,399.0
P00000110,U0000047,2021-03-28,49.0,monthly,0,49.0
P00000111,U0000047,2021-04-28,49.0,monthly,0,49.0
P00000112,U0000047,2021-05-28,49.0,monthly,0,49.0
P00000113,U0000047,2021-06-28,49.0,monthly,0,49.0
P00000114,U0000047,2021-07-28,49.0,monthly,0,49.0
P00000115,U0000047,2021-08-28,49.0,monthly,0,49.0
P00000116,U0000047,2021-09-28,49.0,monthly,0,49.0
P00000117,U0000047,2021-10-28,49.0,monthly,0,49.0
P00000118,U0000047,2021-11-28,49.0,monthly,0,49.0
P00000119,U0000047,2021-12-28,49.0,monthly,0,49.0
P00000120,U0000047,2022-01-28,49.0,monthly,0,49.0
P00000121,U0000047,2022-02-28,49.0,monthly,0,49.0
P00000122,U0000047,2022-03-28,49.0,monthly,0,49.0
P00000123,U0000047,2022-04-28,49.0,monthly,0,49.0
P00000124,U0000047,2022-05-28,49.0,monthly,0,49.0
P00000125,U0000048,2022-03-09,49.0,monthly,0,49.0
P00000126,U0000048,2022-04-09,49.0,monthly,0,49.0
P00000127,U0000048,2022-05-09,49.0,monthly,0,49.0
P00000128,U0000048,2022-06-09,49.0,monthly,0,49.0
P00000129,U0000049,2022-10-07,49.0,monthly,0,49.0
P00000130,U0000049,2022-11-07,49.0,monthly,0,49.0
P00000131,U0000050,2022-11-07,399.0,annual,0,399.0
P00000132,U0000052,2021-01-01,49.0,monthly,1,0.0
P00000133,U0000052,2021-02-01,49.0,monthly,0,49.0
P00000134,U0000052,2021-03-01,49.0,monthly,0,49.0
P00000135,U0000052,2021-04-01,49.0,monthly,0,49.0
P00000136,U0000052,2021-05-01,49.0,monthly,0,49.0
P00000137,U0000052,2021-06-01,49.0,monthly,0,49.0
P00000138,U0000052,2021-07-01,49.0,monthly,0,49.0
P00000139,U0000053,2022-06-10,49.0,monthly,0,49.0
P00000140,U0000053,2022-07-10,49.0,monthly,0,49.0
P00000141,U0000053,2022-08-10,49.0,monthly,0,49.0
P00000142,U0000053,2022-09-10,49.0,monthly,0,49.0
P00000143,U0000053,2022-10-10,49.0,monthly,0,49.0
P00000144,U0000055,2022-11-11,399.0,annual,0,399.0
P00000145,U0000059,2021-11-27,49.0,monthly,0,49.0
P00000146,U0000059,2021-12-27,49.0,monthly,1,0.0
P00000147,U0000059,2022-01-27,49.0,monthly,0,49.0
P00000148,U0000059,2022-02-27,49.0,monthly,0,49.0
P00000149,U0000059,2022-03-27,49.0,monthly,0,49.0
P00000150,U0000059,2022-04-27,49.0,monthly,0,49.0
P00000151,U0000059,2022-05-27,49.0,monthly,0,49.0
P00000152,U0000059,2022-06-27,49.0,monthly,0,49.0
P00000153,U0000060,2023-01-21,49.0,monthly,1,0.0
P00000154,U0000062,2023-01-26,399.0,annual,0,399.0
P00000155,U0000066,2021-09-13,399.0,annual,0,399.0
P00000156,U0000071,2021-09-16,399.0,annual,0,399.0
P00000157,U0000072,2021-06-25,399.0,annual,0,399.0
P00000158,U0000074,2022-12-12,399.0,annual,0,399.0
P00000159,U0000075,2021-11-05,399.0,annual,1,0.0
P00000160,U0000077,2022-10-21,49.0,monthly,0,49.0
P00000161,U0000077,2022-11-21,49.0,monthly,0,49.0
P00000162,U0000077,2022-12-21,49.0,monthly,0,49.0
P00000163,U0000077,2023-01-21,49.0,monthly,0,49.0
P00000164,U0000077,2023-02-21,49.0,monthly,0,49.0
P00000165,U0000084,2021-10-15,399.0,annual,0,399.0
P00000166,U0000085,2022-09-22,49.0,monthly,0,49.0
P00000167,U0000085,2022-10-22,49.0,monthly,0,49.0
P00000168,U0000087,2022-04-28,399.0,annual,0,399.0
P00000169,U0000088,2022-11-07,49.0,monthly,0,49.0
P00000170,U0000088,2022-12-07,49.0,monthly,0,49.0
P00000171,U0000088,2023-01-07,49.0,monthly,0,49.0
P00000172,U0000089,2022-01-12,399.0,annual,0,399.0
P00000173,U0000092,2021-10-28,49.0,monthly,0,49.0
P00000174,U0000092,2021-11-28,49.0,monthly,0,49.0
P00000175,U0000092,2021-12-28,49.0,monthly,0,49.0
P00000176,U0000092,2022-01-28,49.0,monthly,0,49.0
P00000177,U0000092,2022-02-28,49.0,monthly,0,49.0
P00000178,U0000092,2022-03-28,49.0,monthly,0,49.0
P00000179,U0000092,2022-04-28,49.0,monthly,0,49.0
P00000180,U0000092,2022-05-28,49.0,monthly,0,49.0
P00000181,U0000092,2022-06-28,49.0,monthly,0,49.0
P00000182,U0000092,2022-07-28,49.0,monthly,0,49.0
P00000183,U0000092,2022-08-28,49.0,monthly,0,49.0
P00000184,U0000095,2021-12-31,49.0,monthly,1,0.0
P00000185,U0000095,2022-01-31,49.0,monthly,0,49.0
P00000186,U0000095,2022-02-28,49.0,monthly,0,49.0
P00000187,U0000095,2022-03-28,49.0,monthly,0,49.0
P00000188,U0000095,2022-04-28,49.0,monthly,0,49.0
P00000189,U0000095,2022-05-28,49.0,monthly,0,49.0
P00000190,U0000095,2022-06-28,49.0,monthly,1,0.0
P00000191,U0000095,2022-07-28,49.0,monthly,0,49.0
P00000192,U0000095,2022-08-28,49.0,monthly,0,49.0
P00000193,U0000095,2022-09-28,49.0,monthly,0,49.0
P00000194,U0000096,2021-05-21,399.0,annual,0,399.0
P00000195,U0000098,2021-03-19,49.0,monthly,0,49.0
P00000196,U0000098,2021-04-19,49.0,monthly,0,49.0
P00000197,U0000098,2021-05-19,49.0,monthly,0,49.0
P00000198,U0000098,2021-06-19,49.0,monthly,0,49.0
P00000199,U0000098,2021-07-19,49.0,monthly,0,49.0
P00000200,U0000098,2021-08-19,49.0,monthly,0,49.0
P00000201,U0000098,2021-09-19,49.0,monthly,0,49.0
P00000202,U0000098,2021-10-19,49.0,monthly,0,49.0
P00000203,U0000098,2021-11-19,49.0,monthly,0,49.0
P00000204,U0000098,2021-12-19,49.0,monthly,0,49.0
P00000205,U0000098,2022-01-19,49.0,monthly,0,49.0
P00000206,U0000099,2022-09-06,49.0,monthly,0,49.0
P00000207,U0000099,2022-10-06,49.0,monthly,0,49.0
P00000208,U0000099,2022-11-06,49.0,monthly,0,49.0
P00000209,U0000099,2022-12-06,49.0,monthly,0,49.0
P00000210,U0000102,2022-10-12,49.0,monthly,0,49.0
P00000211,U0000102,2022-11-12,49.0,monthly,0,49.0
P00000212,U0000102,2022-12-12,49.0,monthly,0,49.0
P00000213,U0000105,2022-10-02,49.0,monthly,0,49.0
P00000214,U0000105,2022-11-02,49.0,monthly,0,49.0
P00000215,U0000105,2022-12-02,49.0,monthly,0,49.0
P00000216,U0000105,2023-01-02,49.0,monthly,0,49.0
P00000217,U0000106,2023-01-12,49.0,monthly,0,49.0
P00000218,U0000106,2023-02-12,49.0,monthly,0,49.0
P00000219,U0000108,2021-12-03,399.0,annual,0,399.0
P00000220,U0000110,2022-06-07,49.0,monthly,0,49.0
P00000221,U0000110,2022-07-07,49.0,monthly,0,49.0
P00000222,U0000110,2022-08-07,49.0,monthly,0,49.0
P00000223,U0000110,2022-09-07,49.0,monthly,1,0.0
P00000224,U0000110,2022-10-07,49.0,monthly,0,49.0
P00000225,U0000110,2022-11-07,49.0,monthly,0,49.0
P00000226,U0000110,2022-12-07,49.0,monthly,0,49.0
P00000227,U0000110,2023-01-07,49.0,monthly,0,49.0
P00000228,U0000111,2023-02-06,49.0,monthly,0,49.0
P00000229,U0000117,2022-01-31,399.0,annual,0,399.0
P00000230,U0000117,2023-01-31,399.0,annual,0,399.0
P00000231,U0000118,2021-02-18,49.0,monthly,0,49.0
P00000232,U0000118,2021-03-18,49.0,monthly,0,49.0
P00000233,U0000118,2021-04-18,49.0,monthly,0,49.0
P00000234,U0000118,2021-05-18,49.0,monthly,0,49.0
P00000235,U0000118,2021-06-18,49.0,monthly,0,49.0
P00000236,U0000118,2021-07-18,49.0,monthly,0,49.0
P00000237,U0000118,2021-08-18,49.0,monthly,0,49.0
P00000238,U0000118,2021-09-18,49.0,monthly,0,49.0
P00000239,U0000118,2021-10-18,49.0,monthly,0,49.0
P00000240,U0000118,2021-11-18,49.0,monthly,0,49.0
P00000241,U0000118,2021-12-18,49.0,monthly,0,49.0
P00000242,U0000118,2022-01-18,49.0,monthly,0,49.0
P00000243,U0000123,2022-10-28,49.0,monthly,0,49.0
P00000244,U0000123,2022-11-28,49.0,monthly,0,49.0
P00000245,U0000123,2022-12-28,49.0,monthly,0,49.0
P00000246,U0000126,2023-01-21,399.0,annual,0,399.0
P00000247,U0000128,2023-01-14,49.0,monthly,0,49.0
P00000248,U0000129,2022-01-29,49.0,monthly,0,49.0
P00000249,U0000129,2022-02-28,49.0,monthly,0,49.0
P00000250,U0000129,2022-03-28,49.0,monthly,0,49.0
P00000251,U0000129,2022-04-28,49.0,monthly,0,49.0
P00000252,U0000129,2022-05-28,49.0,monthly,0,49.0
P00000253,U0000129,2022-06-28,49.0,monthly,0,49.0
P00000254,U0000129,2022-07-28,49.0,monthly,0,49.0
P00000255,U0000129,2022-08-28,49.0,monthly,0,49.0
P00000256,U0000129,2022-09-28,49.0,monthly,0,49.0
P00000257,U0000129,2022-10-28,49.0,monthly,0,49.0
P00000258,U0000129,2022-11-28,49.0,monthly,0,49.0
P00000259,U0000129,2022-12-28,49.0,monthly,0,49.0
P00000260,U0000129,2023-01-28,49.0,monthly,0,49.0
P00000261,U0000130,2023-01-11,399.0,annual,0,399.0
P00000262,U0000131,2021-12-25,49.0,monthly,0,49.0
P00000263,U0000131,2022-01-25,49.0,monthly,0,49.0
P00000264,U0000131,2022-02-25,49.0,monthly,0,49.0
P00000265,U0000131,2022-03-25,49.0,monthly,0,49.0
P00000266,U0000131,2022-04-25,49.0,monthly,0,49.0
P00000267,U0000131,2022-05-25,49.0,monthly,0,49.0
P00000268,U0000131,2022-06-25,49.0,monthly,0,49.0
P00000269,U0000131,2022-07-25,49.0,monthly,0,49.0
P00000270,U0000131,2022-08-25,49.0,monthly,0,49.0
P00000271,U0000136,2021-11-20,49.0,monthly,0,49.0
P00000272,U0000136,2021-12-20,49.0,monthly,0,49.0
P00000273,U0000136,2022-01-20,49.0,monthly,0,49.0
P00000274,U0000136,2022-02-20,49.0,monthly,0,49.0
P00000275,U0000136,2022-03-20,49.0,monthly,0,49.0
P00000276,U0000136,2022-04-20,49.0,monthly,0,49.0
P00000277,U0000136,2022-05-20,49.0,monthly,0,49.0
P00000278,U0000140,2021-05-18,49.0,monthly,0,49.0
P00000279,U0000141,2021-01-22,49.0,monthly,0,49.0
P00000280,U0000141,2021-02-22,49.0,monthly,0,49.0
P00000281,U0000141,2021-03-22,49.0,monthly,0,49.0
P00000282,U0000141,2021-04-22,49.0,monthly,0,49.0
P00000283,U0000141,2021-05-22,49.0,monthly,0,49.0
P00000284,U0000141,2021-06-22,49.0,monthly,0,49.0
P00000285,U0000141,2021-07-22,49.0,monthly,0,49.0
P00000286,U0000141,2021-08-22,49.0,monthly,0,49.0
P00000287,U0000141,2021-09-22,49.0,monthly,0,49.0
P00000288,U0000141,2021-10-22,49.0,monthly,0,49.0
P00000289,U0000141,2021-11-22,49.0,monthly,0,49.0
P00000290,U0000141,2021-12-22,49.0,monthly,0,49.0
P00000291,U0000141,2022-01-22,49.0,monthly,0,49.0
P00000292,U0000141,2022-02-22,49.0,monthly,0,49.0
P00000293,U0000141,2022-03-22,49.0,monthly,0,49.0
P00000294,U0000141,2022-04-22,49.0,monthly,0,49.0
P00000295,U0000141,2022-05-22,49.0,monthly,0,49.0
P00000296,U0000141,2022-06-22,49.0,monthly,0,49.0
P00000297,U0000141,2022-07-22,49.0,monthly,0,49.0
P00000298,U0000141,2022-08-22,49.0,monthly,0,49.0
P00000299,U0000141,2022-09-22,49.0,monthly,0,49.0
P00000300,U0000141,2022-10-22,49.0,monthly,0,49.0
P00000301,U0000141,2022-11-22,49.0,monthly,0,49.0
P00000302,U0000141,2022-12-22,49.0,monthly,0,49.0
P00000303,U0000143,2022-12-20,49.0,monthly,0,49.0
P00000304,U0000144,2022-12-25,49.0,monthly,0,49.0
P00000305,U0000144,2023-01-25,49.0,monthly,0,49.0
P00000306,U0000155,2021-04-05,49.0,monthly,0,49.0
P00000307,U0000155,2021-05-05,49.0,monthly,0,49.0
P00000308,U0000155,2021-06-05,49.0,monthly,0,49.0
P00000309,U0000155,2021-07-05,49.0,monthly,0,49.0
P00000310,U0000159,2022-06-07,49.0,monthly,0,49.0
P00000311,U0000159,2022-07-07,49.0,monthly,0,49.0
P00000312,U0000159,2022-08-07,49.0,monthly,0,49.0
P00000313,U0000159,2022-09-07,49.0,monthly,0,49.0
P00000314,U0000160,2022-11-04,399.0,annual,0,399.0
P00000315,U0000162,2021-07-26,49.0,monthly,0,49.0
P00000316,U0000162,2021-08-26,49.0,monthly,0,49.0
P00000317,U0000162,2021-09-26,49.0,monthly,0,49.0
P00000318,U0000162,2021-10-26,49.0,monthly,0,49.0
P00000319,U0000164,2021-01-09,399.0,annual,0,399.0
P00000320,U0000165,2022-09-03,49.0,monthly,0,49.0
P00000321,U0000165,2022-10-03,49.0,monthly,0,49.0
P00000322,U0000165,2022-11-03,49.0,monthly,0,49.0
P00000323,U0000165,2022-12-03,49.0,monthly,0,49.0
P00000324,U0000165,2023-01-03,49.0,monthly,0,49.0
P00000325,U0000166,2022-02-01,399.0,annual,0,399.0
P00000326,U0000172,2022-06-16,49.0,monthly,0,49.0
P00000327,U0000172,2022-07-16,49.0,monthly,0,49.0
P00000328,U0000172,2022-08-16,49.0,monthly,0,49.0
P00000329,U0000172,2022-09-16,49.0,monthly,0,49.0
P00000330,U0000172,2022-10-16,49.0,monthly,0,49.0
P00000331,U0000172,2022-11-16,49.0,monthly,0,49.0
P00000332,U0000172,2022-12-16,49.0,monthly,0,49.0
P00000333,U0000172,2023-01-16,49.0,monthly,0,49.0
P00000334,U0000173,2022-05-15,399.0,annual,0,399.0
P00000335,U0000175,2021-03-28,399.0,annual,0,399.0
P00000336,U0000176,2022-03-11,49.0,monthly,0,49.0
P00000337,U0000176,2022-04-11,49.0,monthly,0,49.0
P00000338,U0000176,2022-05-11,49.0,monthly,0,49.0
P00000339,U0000176,2022-06-11,49.0,monthly,0,49.0
P00000340,U0000176,2022-07-11,49.0,monthly,0,49.0
P00000341,U0000176,2022-08-11,49.0,monthly,0,49.0
P00000342,U0000181,2022-05-23,49.0,monthly,0,49.0
P00000343,U0000181,2022-06-23,49.0,monthly,0,49.0
P00000344,U0000188,2022-09-08,49.0,monthly,0,49.0
P00000345,U0000188,2022-10-08,49.0,monthly,0,49.0
P00000346,U0000188,2022-11-08,49.0,monthly,0,49.0
P00000347,U0000188,2022-12-08,49.0,monthly,0,49.0
P00000348,U0000188,2023-01-08,49.0,monthly,0,49.0
P00000349,U0000188,2023-02-08,49.0,monthly,0,49.0
P00000350,U0000189,2022-02-07,399.0,annual,0,399.0
P00000351,U0000193,2022-03-07,49.0,monthly,0,49.0
P00000352,U0000194,2022-01-20,49.0,monthly,0,49.0
P00000353,U0000194,2022-02-20,49.0,monthly,0,49.0
P00000354,U0000194,2022-03-20,49.0,monthly,0,49.0
P00000355,U0000194,2022-04-20,49.0,monthly,0,49.0
P00000356,U0000194,2022-05-20,49.0,monthly,0,49.0
P00000357,U0000194,2022-06-20,49.0,monthly,0,49.0
P00000358,U0000194,2022-07-20,49.0,monthly,0,49.0
P00000359,U0000194,2022-08-20,49.0,monthly,0,49.0
P00000360,U0000194,2022-09-20,49.0,monthly,0,49.0
P00000361,U0000194,2022-10-20,49.0,monthly,0,49.0
P00000362,U0000194,2022-11-20,49.0,monthly,0,49.0
P00000363,U0000194,2022-12-20,49.0,monthly,0,49.0
P00000364,U0000194,2023-01-20,49.0,monthly,0,49.0
P00000365,U0000195,2023-01-02,399.0,annual,0,399.0
P00000366,U0000196,2021-12-23,399.0,annual,0,399.0
P00000367,U0000198,2022-09-11,399.0,annual,0,399.0
P00000368,U0000199,2022-08-20,49.0,monthly,0,49.0
P00000369,U0000199,2022-09-20,49.0,monthly,0,49.0
P00000370,U0000199,2022-10-20,49.0,monthly,0,49.0
P00000371,U0000199,2022-11-20,49.0,monthly,0,49.0
P00000372,U0000200,2021-08-19,49.0,monthly,0,49.0
P00000373,U0000200,2021-09-19,49.0,monthly,0,49.0
P00000374,U0000200,2021-10-19,49.0,monthly,0,49.0
P00000375,U0000200,2021-11-19,49.0,monthly,0,49.0
P00000376,U0000200,2021-12-19,49.0,monthly,0,49.0
P00000377,U0000200,2022-01-19,49.0,monthly,0,49.0
P00000378,U0000200,2022-02-19,49.0,monthly,0,49.0
P00000379,U0000200,2022-03-19,49.0,monthly,0,49.0
P00000380,U0000200,2022-04-19,49.0,monthly,0,49.0
P00000381,U0000200,2022-05-19,49.0,monthly,0,49.0
P00000382,U0000201,2021-09-18,49.0,monthly,0,49.0
P00000383,U0000201,2021-10-18,49.0,monthly,0,49.0
P00000384,U0000201,2021-11-18,49.0,monthly,0,49.0
P00000385,U0000201,2021-12-18,49.0,monthly,0,49.0
P00000386,U0000201,2022-01-18,49.0,monthly,0,49.0
P00000387,U0000201,2022-02-18,49.0,monthly,0,49.0
P00000388,U0000201,2022-03-18,49.0,monthly,0,49.0
P00000389,U0000202,2021-10-23,49.0,monthly,0,49.0
P00000390,U0000202,2021-11-23,49.0,monthly,0,49.0
P00000391,U0000202,2021-12-23,49.0,monthly,0,49.0
P00000392,U0000202,2022-01-23,49.0,monthly,0,49.0
P00000393,U0000202,2022-02-23,49.0,monthly,0,49.0
P00000394,U0000205,2021-10-16,399.0,annual,0,399.0
P00000395,U0000205,2022-10-16,399.0,annual,0,399.0
P00000396,U0000206,2022-03-18,49.0,monthly,0,49.0
P00000397,U0000206,2022-04-18,49.0,monthly,0,49.0
P00000398,U0000206,2022-05-18,49.0,monthly,0,49.0
P00000399,U0000206,2022-06-18,49.0,monthly,0,49.0
P00000400,U0000206,2022-07-18,49.0,monthly,0,49.0
P00000401,U0000206,2022-08-18,49.0,monthly,0,49.0
P00000402,U0000206,2022-09-18,49.0,monthly,0,49.0
P00000403,U0000206,2022-10-18,49.0,monthly,0,49.0
P00000404,U0000206,2022-11-18,49.0,monthly,0,49.0
P00000405,U0000206,2022-12-18,49.0,monthly,0,49.0
P00000406,U0000206,2023-01-18,49.0,monthly,0,49.0
P00000407,U0000208,2022-06-09,49.0,monthly,0,49.0
P00000408,U0000208,2022-07-09,49.0,monthly,0,49.0
P00000409,U0000208,2022-08-09,49.0,monthly,0,49.0
P00000410,U0000208,2022-09-09,49.0,monthly,0,49.0
P00000411,U0000208,2022-10-09,49.0,monthly,0,49.0
P00000412,U0000208,2022-11-09,49.0,monthly,0,49.0
P00000413,U0000208,2022-12-09,49.0,monthly,0,49.0
P00000414,U0000208,2023-01-09,49.0,monthly,0,49.0
P00000415,U0000208,2023-02-09,49.0,monthly,0,49.0
P00000416,U0000213,2022-02-07,399.0,annual,0,399.0
P00000417,U0000214,2021-01-07,399.0,annual,0,399.0
P00000418,U0000215,2021-01-19,49.0,monthly,0,49.0
P00000419,U0000215,2021-02-19,49.0,monthly,0,49.0
P00000420,U0000215,2021-03-19,49.0,monthly,0,49.0
P00000421,U0000215,2021-04-19,49.0,monthly,0,49.0
P00000422,U0000215,2021-05-19,49.0,monthly,0,49.0
P00000423,U0000215,2021-06-19,49.0,monthly,0,49.0
P00000424,U0000215,2021-07-19,49.0,monthly,0,49.0
P00000425,U0000218,2021-01-11,49.0,monthly,0,49.0
P00000426,U0000218,2021-02-11,49.0,monthly,0,49.0
P00000427,U0000218,2021-03-11,49.0,monthly,0,49.0
P00000428,U0000218,2021-04-11,49.0,monthly,0,49.0
P00000429,U0000218,2021-05-11,49.0,monthly,0,49.0
P00000430,U0000218,2021-06-11,49.0,monthly,0,49.0
P00000431,U0000218,2021-07-11,49.0,monthly,0,49.0
P00000432,U0000218,2021-08-11,49.0,monthly,0,49.0
P00000433,U0000218,2021-09-11,49.0,monthly,0,49.0
P00000434,U0000218,2021-10-11,49.0,monthly,0,49.0
P00000435,U0000218,2021-11-11,49.0,monthly,0,49.0
P00000436,U0000220,2022-09-15,49.0,monthly,0,49.0
P00000437,U0000220,2022-10-15,49.0,monthly,0,49.0
P00000438,U0000220,2022-11-15,49.0,monthly,0,49.0
P00000439,U0000220,2022-12-15,49.0,monthly,0,49.0
P00000440,U0000220,2023-01-15,49.0,monthly,0,49.0
P00000441,U0000222,2021-01-11,49.0,monthly,0,49.0
P00000442,U0000222,2021-02-11,49.0,monthly,0,49.0
P00000443,U0000222,2021-03-11,49.0,monthly,0,49.0
P00000444,U0000222,2021-04-11,49.0,monthly,0,49.0
P00000445,U0000222,2021-05-11,49.0,monthly,0,49.0
P00000446,U0000222,2021-06-11,49.0,monthly,0,49.0
P00000447,U0000227,2021-03-20,49.0,monthly,0,49.0
P00000448,U0000227,2021-04-20,49.0,monthly,0,49.0
P00000449,U0000227,2021-05-20,49.0,monthly,0,49.0
